이름,날짜,상태
[AR/로보케어] AR 연구 및 콘텐츠 제작,,
[AI/로보케어] Unity Sentis AI 를 이용한 헬스 케어 게임 콘텐츠,,
[2D / 로보케어] 멀티 치매 예방 10원 게임,,
,,
[2D / 게임] 로보케어 맞고 게임 제작,,
